Name;Differential Expression Adjusted p-value;Differential Expression Log2 Ratio;Differential Expression p-value;gene;locus_tag
MVB12 CDS;0,46614457;-0,313993632;0,121327094;MVB12;YGR206W
hypothetical protein CDS;0,466440327;0,258303852;0,121519566;;YPL162C
hypothetical protein CDS;0,466624588;-0,404191811;0,121646154;;YIL054W
NOC2 CDS;0,466689344;-0,285601339;0,121741629;NOC2;YOR206W
TRF5 CDS;0,46752208;0,239268002;0,122037592;TRF5;YNL299W
NHA1 CDS;0,468034027;0,23340074;0,122328867;NHA1;YLR138W
HMS2 CDS;0,468034027;-0,255253664;0,122261545;HMS2;YJR147W
FLC3 CDS;0,468183935;0,2695002;0,122771156;FLC3;YGL139W
TAN1 CDS;0,468183935;0,265346429;0,122768544;TAN1;YGL232W
hypothetical protein CDS;0,468183935;0,238676306;0,122599853;;YPL071C
CAT2 CDS;0,468183935;-0,239675206;0,122785554;CAT2;YML042W
OPY1 CDS;0,468183935;-0,29091757;0,12284112;OPY1;YBR129C
hypothetical protein CDS;0,468183935;-0,392706215;0,12272875;;YHR212W-A
hypothetical protein CDS;0,468292012;0,405850927;0,123027204;;YJR151W-A
hypothetical protein CDS;0,468292012;0,240750522;0,122971292;;YLR225C
SOH1 CDS;0,469402801;0,251239359;0,123477126;SOH1;YGL127C
RPL10 CDS;0,469402801;-0,282336622;0,12340266;RPL10;YLR075W
hypothetical protein CDS;0,469957186;0,266797874;0,123871439;;YAR009C
URN1 CDS;0,469957186;0,254552572;0,123822046;URN1;YPR152C
PET10 CDS;0,469957186;-0,253208491;0,123939534;PET10;YKR046C
RFC5 CDS;0,469957186;-0,25961399;0,123891886;RFC5;YBR087W
hypothetical protein CDS;0,47012845;0,34525145;0,124063873;;YJL213W
INM2 CDS;0,471170939;0,254530982;0,124418328;INM2;YDR287W
MLC1 CDS;0,472254146;-0,264941836;0,124783893;MLC1;YGL106W
SLI1 CDS;0,47259478;0,259102889;0,124953487;SLI1;YGR212W
NAP1 CDS;0,472743349;0,269329277;0,125072381;NAP1;YKR048C
hypothetical protein CDS;0,472754456;0,312401326;0,125154935;;YLR156W
FIN1 CDS;0,473812051;0,24734854;0,125514711;FIN1;YDR130C
HSP150 CDS;0,47387064;0,309717118;0,125769641;HSP150;YJL159W
RGC1 CDS;0,47387064;0,276571259;0,125696509;RGC1;YPR115W
UGA1 CDS;0,47387064;0,241315316;0,125760267;UGA1;YGR019W
NAR1 CDS;0,473991965;0,294682067;0,125881665;NAR1;YNL240C
TMA10 CDS;0,474182207;0,278552846;0,12615642;TMA10;YLR327C
BIG1 CDS;0,474182207;0,2535082;0,12606025;BIG1;YHR101C
STE20 CDS;0,474182207;-0,245663479;0,126171756;STE20;YHL007C
GAT4 CDS;0,475003228;0,400585188;0,126634536;GAT4;YIR013C
LYS14 CDS;0,475003228;-0,231368038;0,126544864;LYS14;YDR034C
MES1 CDS;0,475003228;-0,241118082;0,12668701;MES1;YGR264C
RSR1 CDS;0,475003228;-0,364231934;0,126710191;RSR1;YGR152C
HOF1 CDS;0,47504651;0,293709093;0,127121742;HOF1;YMR032W
hypothetical protein CDS;0,47504651;0,283342461;0,127005335;;YOR343W-A
SLD3 CDS;0,47504651;0,27440737;0,127020892;SLD3;YGL113W
CAJ1 CDS;0,47504651;-0,273368445;0,126877363;CAJ1;YER048C
DPS1 CDS;0,47504651;-0,277168727;0,127087714;DPS1;YLL018C
RAD5 CDS;0,476271061;-0,224800105;0,127531101;RAD5;YLR032W
ALG5 CDS;0,476271061;-0,343865641;0,127609845;ALG5;YPL227C
RPL36A CDS;0,476840957;-0,314248905;0,127842843;RPL36A;YMR194W
hypothetical protein CDS;0,477394213;-0,247440353;0,12807157;;YIL166C
MCM10 CDS;0,477789562;0,28817024;0,128258094;MCM10;YIL150C
AIM11 CDS;0,47857169;0,246857157;0,128629238;AIM11;YER093C-A
RCF1 CDS;0,47857169;-0,226759834;0,128576166;RCF1;YML030W
MRPS12 CDS;0,478901332;-0,241299514;0,128878811;MRPS12;YNR036C
MVD1 CDS;0,478901332;-0,275338451;0,128879139;MVD1;YNR043W
hypothetical protein CDS;0,479069713;0,255267176;0,129005131;;YPR114W
UBP11 CDS;0,47982355;0,266586336;0,129440585;UBP11;YKR098C
PRE7 CDS;0,47982355;-0,232271678;0,12944537;PRE7;YBL041W
CTF18 CDS;0,47982355;-0,240065029;0,129450543;CTF18;YMR078C
PRO3 CDS;0,482452644;-0,221726038;0,130241089;PRO3;YER023W
SAM3 CDS;0,482541916;0,240529325;0,130346452;SAM3;YPL274W
hypothetical protein CDS;0,482815082;0,38699484;0,130531132;;YNR075C-A
RPB3 CDS;0,482815082;-0,239761734;0,130908097;RPB3;YIL021W
RGT1 CDS;0,482815082;-0,259122386;0,130867478;RGT1;YKL038W
RPN8 CDS;0,482815082;-0,265097664;0,130753165;RPN8;YOR261C
RPA43 CDS;0,482815082;-0,272569466;0,130618782;RPA43;YOR340C
RPB5 CDS;0,482815082;-0,298153104;0,130666944;RPB5;YBR154C
FMN1 CDS;0,483730615;0,259054361;0,131237794;FMN1;YDR236C
OPT1 CDS;0,486354655;0,281075495;0,132113516;OPT1;YJL212C
PIG2 CDS;0,486354655;-0,306148753;0,132060731;PIG2;YIL045W
SSZ1 CDS;0,486567006;-0,244155751;0,132417023;SSZ1;YHR064C
PMT4 CDS;0,486567006;-0,267103904;0,132354218;PMT4;YJR143C
IRC22 CDS;0,486567006;-0,307577025;0,132326471;IRC22;YEL001C
ATR1 CDS;0,48691344;0,249355654;0,132783818;ATR1;YML116W
NGG1 CDS;0,48691344;-0,233805574;0,13278568;NGG1;YDR176W
hypothetical protein CDS;0,48691344;-0,277896111;0,132839302;;YLR053C
MDS3 CDS;0,48691344;-0,28560013;0,132665854;MDS3;YGL197W
RNA14 CDS;0,486940592;-0,237770988;0,132928713;RNA14;YMR061W
UIP3 CDS;0,487025316;-0,278913187;0,13303386;UIP3;YAR027W
POP7 CDS;0,487967454;0,252315257;0,133455565;POP7;YBR167C
ARG80 CDS;0,487967454;0,235244519;0,133437383;ARG80;YMR042W
HOS2 CDS;0,488414622;-0,254754784;0,133660115;HOS2;YGL194C
hypothetical protein CDS;0,489049155;0,239121078;0,13399848;;YER160C
hypothetical protein CDS;0,489049155;-0,36418441;0,13394362;;YNL162W-A
UPC2 CDS;0,489566462;0,231309786;0,134222668;UPC2;YDR213W
MED4 CDS;0,48991588;0,23118937;0,134483477;MED4;YOR174W
GSY2 CDS;0,48991588;-0,218057669;0,134476795;GSY2;YLR258W
MUD1 CDS;0,49035169;0,2236455;0,134685686;MUD1;YBR119W
hypothetical protein CDS;0,490433788;0,26312138;0,135096152;;YHR131C
RAD61 CDS;0,490433788;0,24639616;0,134829689;RAD61;YDR014W
CLB4 CDS;0,490433788;0,239679298;0,135034993;CLB4;YLR210W
UMP1 CDS;0,490433788;-0,21729512;0,134911761;UMP1;YBR173C
MRPS9 CDS;0,490433788;-0,2818421;0,135121199;MRPS9;YBR146W
ELF1 CDS;0,490894606;-0,232872499;0,13537994;ELF1;YKL160W
COT1 CDS;0,490894606;-0,250841051;0,1354135;COT1;YOR316C
VID24 CDS;0,492095289;0,274987609;0,136212349;VID24;YBR105C
FLO10 CDS;0,492095289;0,263871521;0,13615516;FLO10;YKR102W
hypothetical protein CDS;0,492095289;0,261917078;0,136305068;;YPR202W
MTD1 CDS;0,492095289;-0,224273033;0,136214422;MTD1;YKR080W
RGM1 CDS;0,492095289;-0,244856978;0,136229306;RGM1;YMR182C
CAB5 CDS;0,492095289;-0,267044796;0,135840792;CAB5;YDR196C
GLN1 CDS;0,492146076;0,3072879;0,136504646;GLN1;YPR035W
PGU1 CDS;0,493358143;0,24227372;0,136933128;PGU1;YJR153W
HPR1 CDS;0,493358143;0,23056631;0,137007002;HPR1;YDR138W
PRP4 CDS;0,493488468;0,233029409;0,137126301;PRP4;YPR178W
RVB1 CDS;0,493746048;-0,245496301;0,137281025;RVB1;YDR190C
FRA1 CDS;0,494508982;-0,247693006;0,13757643;FRA1;YLL029W
SKG3 CDS;0,49723365;0,275288997;0,138501929;SKG3;YLR187W
FOB1 CDS;0,49723365;-0,254470151;0,138440619;FOB1;YDR110W
NTG2 CDS;0,498789622;0,236267325;0,139019337;NTG2;YOL043C
MUD2 CDS;0,499648038;0,225754135;0,139555404;MUD2;YKL074C
GDH3 CDS;0,499648038;-0,221455388;0,139595166;GDH3;YAL062W
PPA2 CDS;0,499648038;-0,275820098;0,139381926;PPA2;YMR267W
ERV14 CDS;0,499648038;-0,295264864;0,139555457;ERV14;YGL054C
hypothetical protein CDS;0,500400125;0,229262142;0,13988956;;YLR243W
BAP2 CDS;0,5004015;0,213475289;0,140010097;BAP2;YBR068C
RPP1A CDS;0,5004015;-0,304366276;0,140058486;RPP1A;YDL081C
POS5 CDS;0,500448593;-0,219268238;0,140219301;POS5;YPL188W
PHO23 CDS;0,500448593;-0,254171166;0,140240225;PHO23;YNL097C
SEC59 CDS;0,501333611;0,228552477;0,140572661;SEC59;YMR013C
GRX3 CDS;0,501911651;-0,286989838;0,140819268;GRX3;YDR098C
IRC23 CDS;0,503026208;0,301105851;0,141252788;IRC23;YOR044W
hypothetical protein CDS;0,503026208;-0,234512191;0,141303243;;YDR541C
ERV25 CDS;0,503026208;-0,305389503;0,141386113;ERV25;YML012W
PHO3 CDS;0,505604035;-0,245026367;0,142195813;PHO3;YBR092C
SMD1 CDS;0,506592878;-0,240719264;0,142559229;SMD1;YGR074W
PMT3 CDS;0,506937175;0,227206459;0,142826523;PMT3;YOR321W
CUS1 CDS;0,506937175;0,220084084;0,14282686;CUS1;YMR240C
hypothetical protein CDS;0,506992223;-0,232897619;0,14292775;;YJL181W
CDC5 CDS;0,507260046;0,236123406;0,143174105;CDC5;YMR001C
DCG1 CDS;0,507260046;-0,236673933;0,14316794;DCG1;YIR030C
STP3 CDS;0,507285746;0,241309055;0,14326679;STP3;YLR375W
ATG33 CDS;0,507699695;-0,254925423;0,143614032;ATG33;YLR356W
FSH1 CDS;0,507699695;-0,286845004;0,143500479;FSH1;YHR049W
RPB9 CDS;0,507699695;-0,3428964;0,143640197;RPB9;YGL070C
CWC24 CDS;0,508547892;0,25048827;0,144205997;CWC24;YLR323C
putative cystathionine beta-lyase CDS;0,508547892;0,221573544;0,144351086;;YHR112C
TPS3 CDS;0,508547892;-0,215104341;0,144394029;TPS3;YMR261C
BNA5 CDS;0,508547892;-0,220046583;0,144078056;BNA5;YLR231C
RPR2 CDS;0,508547892;-0,251194271;0,144349967;RPR2;YIR015W
ECM15 CDS;0,508547892;-0,269387928;0,144380127;ECM15;YBL001C
LYP1 CDS;0,509163164;-0,212878603;0,144654472;LYP1;YNL268W
GIP2 CDS;0,509364713;0,303011831;0,144890054;GIP2;YER054C
MED11 CDS;0,509364713;0,247291759;0,144859165;MED11;YMR112C
SOL2 CDS;0,509364713;0,23494846;0,144969075;SOL2;YCR073W-A
hypothetical protein CDS;0,509380689;0,266624822;0,145445922;;YCR007C
GMH1 CDS;0,509380689;0,235893567;0,14520728;GMH1;YKR030W
MET1 CDS;0,509380689;0,233740348;0,145488321;MET1;YKR069W
TMA22 CDS;0,509380689;-0,214260283;0,14511767;TMA22;YJR014W
OCA2 CDS;0,509380689;-0,218156284;0,145312876;OCA2;YNL056W
GOR1 CDS;0,509380689;-0,259993241;0,145418954;GOR1;YNL274C
DUT1 CDS;0,511444149;-0,321584611;0,146163813;DUT1;YBR252W
PAN2 CDS;0,511572697;-0,223272459;0,146286703;PAN2;YGL094C
hypothetical protein CDS;0,51196028;-0,248438011;0,146483751;;YNL035C
MMM1 CDS;0,512648831;0,249456849;0,146942948;MMM1;YLL006W
HIM1 CDS;0,512648831;0,236372252;0,146899696;HIM1;YDR317W
HTD2 CDS;0,512648831;0,227614787;0,146929821;HTD2;YHR067W
YPK2 CDS;0,512648831;0,220324318;0,147026096;YPK2;YMR104C
ISD11 CDS;0,513793026;-0,303862674;0,147440774;ISD11;YER048W-A
SMF1 CDS;0,513933648;-0,229637895;0,147567678;SMF1;YOL122C
hypothetical protein CDS;0,514607403;0,292549978;0,148486057;;YMR196W
MMS1 CDS;0,514607403;0,24834666;0,148469074;MMS1;YPR164W
ABF1 CDS;0,514607403;-0,212619722;0,148357014;ABF1;YKL112W
COG4 CDS;0,514607403;-0,223997998;0,148302406;COG4;YPR105C
MGM101 CDS;0,514906732;-0,244579313;0,148714221;MGM101;YJR144W
PCP1 CDS;0,515815065;0,226077832;0,149063431;PCP1;YGR101W
ARO8 CDS;0,516219848;-0,250976402;0,149267342;ARO8;YGL202W
MMT2 CDS;0,516304247;0,2469983;0,149378696;MMT2;YPL224C
COF1 CDS;0,516904506;-0,257488952;0,149639415;COF1;YLL050C
hypothetical protein CDS;0,517382263;-0,29120293;0,149864852;;YIR014W
ALO1 CDS;0,517510898;-0,236880657;0,149989265;ALO1;YML086C
PAU9 CDS;0,517585065;0,372332578;0,150097926;PAU9;YBL108C-A
AFI1 CDS;0,518197441;0,275755496;0,150624585;AFI1;YOR129C
CLB1 CDS;0,518197441;0,247845042;0,15048059;CLB1;YGR108W
YPT1 CDS;0,518197441;-0,212550272;0,150546778;YPT1;YFL038C
hypothetical protein CDS;0,518197441;-0,283513887;0,150507182;;YJR124C
SSF1 CDS;0,518907108;-0,253988318;0,150960666;SSF1;YHR066W
MDM32 CDS;0,518907108;-0,264289935;0,151005639;MDM32;YOR147W
TPO3 CDS;0,519285659;0,266670282;0,151203251;TPO3;YPR156C
HSP82 CDS;0,520597247;0,247623746;0,152137044;HSP82;YPL240C
HTB1 CDS;0,520597247;0,245413283;0,152169693;HTB1;YDR224C
ADF1 CDS;0,520597247;0,227183744;0,151778667;ADF1;YCL058W-A
SPO73 CDS;0,520597247;0,220276849;0,152190709;SPO73;YER046W
PEX27 CDS;0,520597247;0,213340943;0,151782322;PEX27;YOR193W
MRP49 CDS;0,520597247;-0,217541834;0,152073938;MRP49;YKL167C
hypothetical protein CDS;0,520597247;-0,246019996;0,152198858;;YMR010W
ATG5 CDS;0,521243146;0,208804569;0,152563251;ATG5;YPL149W
